id,need_id,revision,description,procurement_method,contract_type,instrument,solicitation_fy,solicitation_quarter,award_fy,award_quarter,pop_months,naics,psc,place,evidence_id
req:lrae_navwar_2024-06:k:a53a8ad22899,need:lrae_navwar_2024-06:k:a53a8ad22899,lrae_navwar_2024-06,Engineering services for PMW 740 Foreign Military Sales (FMS) support for Taiwan,Full and Open Competition,Cost-Reimbursement,Single-Award Indefinite-Delivery,TBD,TBD,FY24,Q4,TBD,541330 - Engineering Services,R425 - SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"San Diego, CA",ev:lrae_navwar_2024-06:row26
req:lrae_navwar_2024-06:k:a4a14cec0a56,need:lrae_navwar_2024-06:k:a4a14cec0a56,lrae_navwar_2024-06,Taipei Economic and Cultural Representative Office (TECRO) Installation Support Services. PMW 740 Foreign Military Sales (FMS) support for installation of C4 capabilities in Taiwan.,Full and Open Competition,Cost-Reimbursement,Single-Award Indefinite-Delivery,FY25,Q2,FY24,Q4,TBD,541330 - Engineering Services,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2024-06:row27
req:lrae_navwar_2024-06:k:758da1041e01,need:lrae_navwar_2024-06:k:758da1041e01,lrae_navwar_2024-06,"MIDS Foreign Military Sales (FMS) case and financial management, program management, and technical and logistics support services",Small Business Set-Aside,TBD,Delivery Order/Task Order (not under Federal Supply Schedule Contract),TBD,TBD,FY28,Q2,TBD,TBD - TBD,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2024-06:row28
req:lrae_navwar_2024-06:k:e8f0f54def21,need:lrae_navwar_2024-06:k:e8f0f54def21,lrae_navwar_2024-06,LBUCS Receive Version 2 software defined radio development (SDR) and integration with existing end-cryptographic unit (ECU). Production option for SDR production and build-to-print of ECU; nine years.,TBD,Fixed-Price,Single-Award Indefinite-Delivery,TBD,TBD,FY26,Q2,TBD,TBD - TBD,5810 - COMMUNICATIONS SECURITY EQUIPMENT AND COMPONENTS,"San Diego, CA",ev:lrae_navwar_2024-06:row29
req:lrae_navwar_2024-06:k:a1be893c133f,need:lrae_navwar_2024-06:k:a1be893c133f,lrae_navwar_2024-06,"Follow-on new contract for PMW 770 Engineering Systems, Security, and MBSE Services",TBD,Cost-Reimbursement,Delivery Order/Task Order (not under Federal Supply Schedule Contract),FY25,Q1,FY25,Q4,66,541330 - Engineering Services,R425 - SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"San Diego, CA",ev:lrae_navwar_2024-06:row30
req:lrae_navwar_2024-06:k:b944ee7d2698,need:lrae_navwar_2024-06:k:b944ee7d2698,lrae_navwar_2024-06,Award new MIDS Front Office contract,Small Business Set-Aside,Cost-Reimbursement,Single-Award Indefinite-Delivery,TBD,TBD,FY27,Q2,TBD,541330 - Engineering Services,R408 - SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,"San Diego, CA",ev:lrae_navwar_2024-06:row33
req:lrae_navwar_2024-06:k:dab3df033d12,need:lrae_navwar_2024-06:k:dab3df033d12,lrae_navwar_2024-06,Acquistion of training services for Security Cooperation support to Taiwan,Full and Open Competition,TBD,TBD,TBD,TBD,FY25,Q2,TBD,TBD - TBD,,"San Diego, CA",ev:lrae_navwar_2024-06:row35
req:lrae_navwar_2024-06:k:2f847ef6ffa8,need:lrae_navwar_2024-06:k:2f847ef6ffa8,lrae_navwar_2024-06,"Provide Communications Security (COMSEC) Special Inventory Manager (SIM) Support Services Perform receipt, temporary storage, and transfer services for U.S. DoD-provided single or two-person special access control devices, COMSEC/SIM equipment, documents, keying, and other materials; train FMS host nation personnel in the proper custodianship, safeguarding, and operation of DoD-provided special devices, COMSEC/SIM equipment, and materials, including keying materials; and conduct periodic inventories and inspections of DoD-provided special devices, COMSEC/SIM equipment, documents, and materials, including keying materials.",Small Business Set-Aside,Fixed-Price,Single-Award Indefinite-Delivery,FY25,Q2,FY26,Q2,TBD,541330 - Engineering Services,R426 - SUPPORT- PROFESSIONAL: COMMUNICATIONS,"San Diego, CA",ev:lrae_navwar_2024-06:row36
req:lrae_navwar_2024-06:k:5cc5d31298b3,need:lrae_navwar_2024-06:k:5cc5d31298b3,lrae_navwar_2024-06,Re-compete of OE-538 production contract,Full and Open Competition,TBD,TBD,TBD,TBD,FY25,Q3,TBD,TBD - TBD,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2024-06:row37
req:lrae_navwar_2024-06:k:f550da182535,need:lrae_navwar_2024-06:k:f550da182535,lrae_navwar_2024-06,"Systems engineering, procurement, test, shipment, installation, and testing of all equipment necessary to modernize Sri Lanka Navy's Multi-Spectral Maritime Surveillance System (MSMSS)",Small Business Set-Aside,Cost-Reimbursement,Delivery Order/Task Order (not under Federal Supply Schedule Contract),FY24,Q1,FY24,Q3,TBD,541330 - Engineering Services,N059 - INSTALLATION OF EQUIPMENT- ELECTRICAL AND ELECTRONIC EQUIPMENT COMPONENTS,"San Diego, CA",ev:lrae_navwar_2024-06:row38
req:lrae_navwar_2024-06:k:bbbbdadb912e,need:lrae_navwar_2024-06:k:bbbbdadb912e,lrae_navwar_2024-06,"Provide C4I materiel acquisition and non-materiel support services (e.g., integration, engineering, installation, and training) to assist in acquiring, fielding, and sustaining tailored, interoperable C4I capabilities that support United States (U.S.) Department of Defense (DoD) and Department of State (DoS) Security Cooperation and Security Assistance programs.",Small Business Set-Aside,Cost-Reimbursement,Single-Award Indefinite-Delivery,FY25,Q1,FY25,Q3,TBD,541330 - Engineering Services,N059 - INSTALLATION OF EQUIPMENT- ELECTRICAL AND ELECTRONIC EQUIPMENT COMPONENTS,"San Diego, CA",ev:lrae_navwar_2024-06:row39
req:lrae_navwar_2024-06:k:45bc6de6f277,need:lrae_navwar_2024-06:k:45bc6de6f277,lrae_navwar_2024-06,Life Cycle Support (LCS) Services and Material for Taiwan Foreign Military Sales (FMS) Case.,Full and Open Competition,TBD,TBD,TBD,TBD,FY25,Q4,TBD,TBD - TBD,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2024-06:row41
req:lrae_navwar_2024-06:k:bbe92f176241,need:lrae_navwar_2024-06:k:bbe92f176241,lrae_navwar_2024-06,New Task Order for COMSEC Management Services in Malaysia.  Task Order includes base year plus four (4) Option Years.,Full and Open Competition,TBD,Delivery Order/Task Order (not under Federal Supply Schedule Contract),TBD,TBD,FY26,Q1,TBD,541330 - Engineering Services,R426 - SUPPORT- PROFESSIONAL: COMMUNICATIONS,"San Diego, CA",ev:lrae_navwar_2024-06:row42
req:lrae_navwar_2024-06:k:0bbaa11932ab,need:lrae_navwar_2024-06:k:0bbaa11932ab,lrae_navwar_2024-06,Task Order to provide COMSEC Management Services in India.  Task Order includes base year plus four (4) Option Years.,Full and Open Competition,Fixed-Price,Delivery Order/Task Order (not under Federal Supply Schedule Contract),TBD,TBD,FY27,Q3,TBD,541330 - Engineering Services,R426 - SUPPORT- PROFESSIONAL: COMMUNICATIONS,"San Diego, CA",ev:lrae_navwar_2024-06:row43
req:lrae_navwar_2024-06:k:3e294fb2b0b2,need:lrae_navwar_2024-06:k:3e294fb2b0b2,lrae_navwar_2024-06,Professional Support Services (PSS) for PMW 120,TBD,TBD,TBD,FY25,Q2,FY26,Q3,TBD,541330 - Engineering Services,"DD01 - IT AND TELECOM - SERVICE DELIVERY SUPPORT SERVICES: ITSM, OPERATIONS CENTER, PROJECT/PM (LABOR)","San Diego, CA",ev:lrae_navwar_2024-06:row44
req:lrae_navwar_2024-06:k:e280f87d65ff,need:lrae_navwar_2024-06:k:e280f87d65ff,lrae_navwar_2024-06,The objective of this task order is to provide the wide range of support across functions/competencies for the PEO C4I front office.,TBD,Cost-Reimbursement,Delivery Order/Task Order (not under Federal Supply Schedule Contract),FY24,Q4,FY25,Q2,TBD,541330 - Engineering Services,R408 - SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,"San Diego, CA",ev:lrae_navwar_2024-06:row45
req:lrae_navwar_2024-06:k:4702c1ef33f7,need:lrae_navwar_2024-06:k:4702c1ef33f7,lrae_navwar_2024-06,"Support Services to develop Installation Requirements Drawings (IRDs), Wiring Diagrams, Technical Data Packages (TDPs), Ship Checks and Ship Installation Drawings (SID) for PEO C4I, NAVWAR (to include NWIC PAC/LANT), FRD and other command funded (OCF) programs.",Service-Disabled Veteran-Owned Small Business Set-Aside,Cost-Reimbursement,Delivery Order/Task Order (not under Federal Supply Schedule Contract),FY24,Q3,FY25,Q2,65,541330 - Engineering Services,R408 - SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,"San Diego, CA",ev:lrae_navwar_2024-06:row46
req:lrae_navwar_2024-06:k:e33f009336bd,need:lrae_navwar_2024-06:k:e33f009336bd,lrae_navwar_2024-06,NTCDL Follow-On contract for Full Rate Production (systems and spares) and Engineering Support Services,Full and Open Competition,TBD,TBD,TBD,TBD,FY25,Q3,TBD,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2024-06:row47
req:lrae_navwar_2024-06:k:4e1be0d80412,need:lrae_navwar_2024-06:k:4e1be0d80412,lrae_navwar_2024-06,Long-term contract vehicle to support production efforts FY25 and beyond.  Likely FAR based held at NAVWAR 2.0.,Full and Open Competition,Fixed-Price,TBD,FY25,Q2,FY26,Q1,TBD,TBD - TBD,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2024-06:row48
req:lrae_navwar_2024-06:k:984b5a06f4f0,need:lrae_navwar_2024-06:k:984b5a06f4f0,lrae_navwar_2024-06,"Follow-on contract for the procurement of MIDS-LVT terminals, spares, FMS, engineering services and repairs, BU2 Retrofit Kits, and BU2 Retrofit Services.",Full and Open Competition,Fixed-Price,Single-Award Indefinite-Delivery,FY24,Q4,FY25,Q3,60,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,"5821 - RADIO AND TELEVISION COMMUNICATION EQUIPMENT, AIRBORNE","San Diego, CA",ev:lrae_navwar_2024-06:row50
req:lrae_navwar_2024-06:k:90b1838be22e,need:lrae_navwar_2024-06:k:90b1838be22e,lrae_navwar_2024-06,Implement C4I Arsenal to provide C4IaaS for Navy and Joint warfighters,Full and Open Competition,Fixed-Price,Single-Award Indefinite-Delivery,FY24,Q4,FY25,Q3,59,541512 - Computer Systems Design Services,7F20 - IT AND TELECOM - IT MANAGEMENT TOOLS/PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),"San Diego, CA",ev:lrae_navwar_2024-06:row51
req:lrae_navwar_2024-06:k:924cbfce6345,need:lrae_navwar_2024-06:k:924cbfce6345,lrae_navwar_2024-06,Award new contract to procure 100W/200W Ship/Shore/Sub power amplifiers.,TBD,Fixed-Price,Single-Award Indefinite-Delivery,FY25,Q2,FY25,Q4,TBD,334290 - Other Communications Equipment Manufacturing,5996 - AMPLIFIERS,"San Diego, CA",ev:lrae_navwar_2024-06:row52
req:lrae_navwar_2024-06:k:19dcd0cdc10f,need:lrae_navwar_2024-06:k:19dcd0cdc10f,lrae_navwar_2024-06,This action is to develop a follow-on multiple award contract for PMW 160 ADNS as the existing contract's period of performance is in 2025.  ADNS has a need to procure ADNS systems and components for the warfighter.,Full and Open Competition,Fixed-Price,Single-Award Indefinite-Delivery,FY25,Q1,FY25,Q3,TBD,334210 - Telephone Apparatus Manufacturing,7G20 - IT AND TELECOM - NETWORK: ANALOG VOICE PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),"San Diego, CA",ev:lrae_navwar_2024-06:row54
req:lrae_navwar_2024-06:k:dcd098b54b3b,need:lrae_navwar_2024-06:k:dcd098b54b3b,lrae_navwar_2024-06,"This follow-on contract provides full spectrum architecture, analysis, interoperability assessments, engineering, Configuration Management (CM), technical management services, Science and Technology, Verification, Validation, and Certification, Software Engineering Support, Cost Engineering and Economic Analysis, Reliability and Systems Safety Assurance Engineering and Analysis, Integration and Interoperability (I&I), Future Capabilities and new construction ships for NAVWAR's PMW 160.",Full and Open Competition,Cost-Reimbursement,Single-Award Indefinite-Delivery,FY25,Q2,FY26,Q3,TBD,541330 - Engineering Services,R425 - SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"San Diego, CA",ev:lrae_navwar_2024-06:row55
req:lrae_navwar_2024-06:k:44b54f55c857,need:lrae_navwar_2024-06:k:44b54f55c857,lrae_navwar_2024-06,"The Program Executive Office (PEO) for Command, Control, Communications, Computers, and Intelligence (C4I) International Integration Program Office (PMW 740) is acquiring Program Management, Systems Engineering, Sustainment, and Training support services and equipment for its portfolio of Kingdom of Saudi Arabia (KSA) and Sultanate of Oman Foreign Military Sales (FMS) United States (U.S.) Central Command (CENTCOM) Partner Network (CPN) cases.",TBD,Fixed-Price,"""C"" Type Contract",FY23,Q4,FY24,Q4,TBD,541330 - Engineering Services,N059 - INSTALLATION OF EQUIPMENT- ELECTRICAL AND ELECTRONIC EQUIPMENT COMPONENTS,"San Diego, CA",ev:lrae_navwar_2024-06:row56
req:lrae_navwar_2024-06:k:ede782b4922c,need:lrae_navwar_2024-06:k:ede782b4922c,lrae_navwar_2024-06,MIDS Engineering and Logistics Services,TBD,Cost-Reimbursement,Single-Award Indefinite-Delivery,FY24,Q2,FY24,Q3,TBD,541330 - Engineering Services,R408 - SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,"San Diego, CA",ev:lrae_navwar_2024-06:row58
req:lrae_navwar_2024-06:k:f1a7e85d188d,need:lrae_navwar_2024-06:k:f1a7e85d188d,lrae_navwar_2024-06,Base year plus 4 Option years to procure AIS Amplifier. Approximate quantity of 40 per year.,TBD,Fixed-Price,TBD,FY24,Q4,FY25,Q2,TBD,TBD - TBD,5963 - ELECTRONIC MODULES,"San Diego, CA",ev:lrae_navwar_2024-06:row59
req:lrae_navwar_2024-06:k:d2c268d861d3,need:lrae_navwar_2024-06:k:d2c268d861d3,lrae_navwar_2024-06,"Provide PMW 150 with ILS acquisition, sustainment, and training development and transition support.",Small Business Set-Aside,Cost-Reimbursement,Delivery Order/Task Order (not under Federal Supply Schedule Contract),FY24,Q2,FY25,Q1,66,"541614 - Process, Physical Distribution, and Logistics Consulting Services",R706 - SUPPORT- MANAGEMENT: LOGISTICS SUPPORT,"San Diego, CA",ev:lrae_navwar_2024-06:row60
req:lrae_navwar_2024-06:k:ce4ef9fbe303,need:lrae_navwar_2024-06:k:ce4ef9fbe303,lrae_navwar_2024-06,Naval Senior Leadership Communications - Aircraft Follow On System.,Full and Open Competition,Fixed-Price,"""C"" Type Contract",FY24,Q4,FY25,Q3,TBD,517410 - Satellite Telecommunications,DG11 - IT AND TELECOM - NETWORK - TELECOM ACCESS SERVICES,"San Diego, CA",ev:lrae_navwar_2024-06:row61
req:lrae_navwar_2024-06:k:3c7b4a80ece2,need:lrae_navwar_2024-06:k:3c7b4a80ece2,lrae_navwar_2024-06,"Provide Radio Communications Suite (RCS) Turnkey Engineering, CTIF and Topside, Shipboard, Smart Start Work, AIT (SCD), Integration and Testing Support onboard USS HARRY S. TRUMAN (CVN 75) under Refueling Complex Overhaul (RCOH), for Program Executive Office (PEO) C4I. Removals, ZI and CSSC incorporated.",Full and Open Competition,Cost-Reimbursement,Delivery Order/Task Order (not under Federal Supply Schedule Contract),FY25,Q2,FY25,Q1,TBD,541330 - Engineering Services,"L058 - TECHNICAL REPRESENTATIVE- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT","San Diego, CA",ev:lrae_navwar_2024-06:row62
req:lrae_navwar_2024-06:k:0f90c0ccf67b,need:lrae_navwar_2024-06:k:0f90c0ccf67b,lrae_navwar_2024-06,"Provide Ships Signal Exploitation Space (SSES) Turnkey Engineering, CTIF and Topside, Shipboard, Smart Start Work, AIT (SCD), Integration and Testing Support onboard USS HARRY S. TRUMAN (CVN 75) under Refueling Complex Overhaul (RCOH), for Program Executive Office (PEO) C4I. Removals, ZI and CVIC incorporated.",Full and Open Competition,Cost-Reimbursement,Delivery Order/Task Order (not under Federal Supply Schedule Contract),TBD,TBD,FY25,Q1,TBD,541330 - Engineering Services,"L058 - TECHNICAL REPRESENTATIVE- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT","San Diego, CA",ev:lrae_navwar_2024-06:row63
req:lrae_navwar_2024-06:k:0774cfc14e06,need:lrae_navwar_2024-06:k:0774cfc14e06,lrae_navwar_2024-06,"Provide Distributed (DS) Shipboard, Smart Start Work, AIT (SCD), Integration and Testing Support onboard USS HARRY S. TRUMAN (CVN 75) under Refueling Complex Overhaul (RCOH), for Program Executive Office (PEO) C4I. Removals, ZI and Node Rooms incorporated.",Full and Open Competition,Cost-Reimbursement,Delivery Order/Task Order (not under Federal Supply Schedule Contract),TBD,TBD,FY25,Q2,TBD,541330 - Engineering Services,"L058 - TECHNICAL REPRESENTATIVE- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT","San Diego, CA",ev:lrae_navwar_2024-06:row64
req:lrae_navwar_2024-06:k:920a99a67887,need:lrae_navwar_2024-06:k:920a99a67887,lrae_navwar_2024-06,"To acquire support services Program Management, Acquisition Management, Contract Management, Cybersecurity Engineering, Technical, System Engineering, and administrative support services for the acquisition, life-cycle management, production, engineering, delivery and integration of multiple shore and expeditionary C4I systems.",Full and Open Competition,Cost-Reimbursement,TBD,FY24,Q3,FY24,Q3,TBD,TBD - TBD,R425 - SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"San Diego, CA",ev:lrae_navwar_2024-06:row66
req:lrae_navwar_2024-06:k:3e9fa206ec9c,need:lrae_navwar_2024-06:k:3e9fa206ec9c,lrae_navwar_2024-06,FFG 63 Design Engineering and C-SIF (Phases II-III),Full and Open Competition,Cost-Reimbursement,Delivery Order/Task Order (not under Federal Supply Schedule Contract),FY24,Q1,FY24,Q3,TBD,541330 - Engineering Services,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2024-06:row69
req:lrae_navwar_2024-06:k:56dc68b1fb4e,need:lrae_navwar_2024-06:k:56dc68b1fb4e,lrae_navwar_2024-06,NSC2I.  T-AO 211-214.  PHASEs 2.3.4.5.  PROCUREMENT.  C-SIF.  SHIPBOARD.  POST DELIVERY.,Full and Open Competition,Cost-Reimbursement,Delivery Order/Task Order (not under Federal Supply Schedule Contract),FY24,Q3,FY25,Q1,TBD,541330 - Engineering Services,"L058 - TECHNICAL REPRESENTATIVE- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT","San Diego, CA",ev:lrae_navwar_2024-06:row70
req:lrae_navwar_2024-06:k:5c6d6f2a7e1c,need:lrae_navwar_2024-06:k:5c6d6f2a7e1c,lrae_navwar_2024-06,HFDAG OTA for replacement HFDAG system,Full and Open Competition,Fixed-Price,Other Transaction Authority,FY24,Q4,FY25,Q1,TBD,334290 - Other Communications Equipment Manufacturing,5996 - AMPLIFIERS,"San Diego, CA",ev:lrae_navwar_2024-06:row71
req:lrae_navwar_2024-06:k:6d751041f91b,need:lrae_navwar_2024-06:k:6d751041f91b,lrae_navwar_2024-06,"Production: competition between MIDS JTRS vendors for semi-annual firm fixed price “lot buys” of MIDS JTRS terminal configurations, to include CMN-4, F-22 and TTNT. 
Retrofit, Repair and Upgrades: Both MIDS JTRS vendors sole source DOs.
SE&I: DOs may be utilized to provide improvements in the form of Block Cycle (BC) updates, Block Upgrades (BUs), Engineering Releases (ERs), investigations of integrating MIDS JTRS on various platforms and investigations of problems and ideas found by the platforms during operation of the MIDS JTRS terminals. Each DO shall be negotiated separately by an agreed to work share between the MIDS JTRS vendors. 
Investigative Request (IR): IRs may consist of investigations for MIDS JTRS terminals risk reduction efforts leading into Development efforts.",Full and Open Competition,Fixed-Price,Single-Award Indefinite-Delivery,TBD,TBD,FY24,Q3,TBD,334290 - Other Communications Equipment Manufacturing,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2024-06:row72
req:lrae_navwar_2024-06:k:85b8af71e495,need:lrae_navwar_2024-06:k:85b8af71e495,lrae_navwar_2024-06,"The major objective of this task order is to obtain Systems Engineering and Technical Assistance (SETA) support services. SETA support includes analysis, evaluation and recommendations of software and hardware and data components as well as their interfaces to current and future C4I systems.",Small Business Set-Aside,Cost-Reimbursement,Delivery Order/Task Order (not under Federal Supply Schedule Contract),FY24,Q2,FY24,Q3,TBD,541330 - Engineering Services,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2024-06:row73
req:lrae_navwar_2024-06:k:d319a323324a,need:lrae_navwar_2024-06:k:d319a323324a,lrae_navwar_2024-06,"All SATCOM MAC for SATCOM programs (NMT, GBS, ESRP, Big Sky, CBSP, NSLC-A and STtNG). Scope to include unique, military-related SATCOM procurements, engineering services for studies, re-spins, obsolescence research, for example.",Full and Open Competition,TBD,Single-Award Indefinite-Delivery,FY26,Q2,FY27,Q2,TBD,TBD - TBD,TBD - TBD,"San Diego, CA",ev:lrae_navwar_2024-06:row74
