sheet,row_number,requirement_title,requirement_description,office_code_string,anticipated_total_value,procurement_method,contract_type,procurement_instrument,contracting_office_uic,solicitation_fy,solicitation_quarter,award_fy,award_quarter,period_of_performance_months,follow_on_or_new,existing_contract_number,incumbent_contractor,place_of_performance,naics,psc,contracting_poc_name,contracting_poc_contact,secondary_poc_name,secondary_poc_contact,facility_clearance,personnel_clearance,palt_code,sub_palt_code,comments,pid,url
LRAE Annex 25,19,Chugach SAC -Fleet C4I and Readiness Emergent/Rapid Fleet Response Support (CIR 22-022),"The purpose of this contract vehicle is to provide emergent and rapid response for engineering, technical support services, maintenance repair and modernization, and associated integration of C4ISR systems on ashore and afloat units.",LBUSP00023 - LBUSP00023 - C4ISR-01C - NIWCLANT,$50M - $100M,8(a) Sole Source,Cost-Reimbursement,Single-Award Indefinite-Delivery,N65236 - NIWCLANT,FY23,Q2,FY23,Q4,,Follow-on,N6523618F3121,,"Charleston, SC",TBD - TBD,R425 - SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"Anderson, Shannon",shannon.b.anderson3.civ@us.navy.mil,NAVWAR OSBP,navwarsbo.fct@navy.mil,,,,,,N65236-23-RFPREQ-LBUSP00023-0002,https://ams.navair.navy.mil/procurement/B7B70D75-3B8F-4B28-8DAC-D88B30C2C0E4
LRAE Annex 25,20,Surface Ship Integration Division Project and Financial Management Support,Program management and financial management services for the Surface Ship Integration Division,LSUBP00034 - LSUBP00034 - SURFACE SHIP INTEGRATION DIV HEAD - NIWCLANT,No Range Specified,,TBD,Delivery Order/Task Order,N65236 - NIWCLANT,,,,,,New,,,"Charleston, SC",TBD - TBD,TBD - TBD,"Anderson, Shannon",shannon.b.anderson3.civ@us.navy.mil,NAVWAR OSBP,navwarsbo.fct@navy.mil,,,,,,N65236-23-RFPREQ-LSUBP00034-0001,https://ams.navair.navy.mil/procurement/6C3ECF38-C052-4395-9052-F37ACA4D02A5
LRAE Annex 25,21,LIPTM00214 - USCG IPT - L-3  Communications Corp - NICHE Contract (CIR 22-023),"Work will consist of upgrade integration support of the L3 proprietary products and systems including Red and Black Base Band switches, IVCS and RFDS for hardware and software in support of NSC 7-10. Classroom and hands on training after integration. New iterations of these systems will be upgraded per requirements on all National Security Cutters post DD-250. Technical and engineering services will also be provided as required bases.",LSUBP00006 - LSUBP00006 - FMS AIR INTEGRATION USCG DIV HEAD - NIWCLANT,$50M - $100M,,Cost-Reimbursement,Single-Award Indefinite-Delivery,N65236 - NIWCLANT,FY23,Q3,FY24,Q2,,Follow-on,N6523618D8007,"L3 TECHNOLOGIES, INC.","Charleston, SC",541330 - Engineering Services,R425 - SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"Anderson, Shannon",shannon.b.anderson3.civ@us.navy.mil,NAVWAR OSBP,navwarsbo.fct@navy.mil,,,,,,N65236-22-RFPREQ-LSUBP00006-0008,https://ams.navair.navy.mil/procurement/174F469E-3256-4A25-BBFC-8551D46A0E5D
LRAE Annex 25,22,"TACMOBILE ENGINEERING, INTEGRATION & INSTALLATION SUPPORT (C)",Follow on task order to N6523619D4809/N6523620F3907,LSUBP00006 - LSUBP00006 - FMS AIR INTEGRATION USCG DIV HEAD - NIWCLANT,$250M - $1B,TBD,Cost-Reimbursement,Delivery Order/Task Order,N65236 - NIWCLANT,,,FY24,Q4,,Follow-on,N6523620F3907,,"Charleston, SC",TBD - TBD,TBD - TBD,"Anderson, Shannon",shannon.b.anderson3.civ@us.navy.mil,NAVWAR OSBP,navwarsbo.fct@navy.mil,,,,,,N65236-23-RFPREQ-LSUBP00006-0046,https://ams.navair.navy.mil/procurement/948AC693-67B0-4E06-998B-B2E380C2D899
LRAE Annex 25,23,LIPTM00226 - NAVAIR FMS TWN-23-3004 HELP DESK - SEWP (C),"SCIENCE APPLICATIONS INTERNATIONAL CORPORATION (SAIC), P/N: 15206-23, JRE HELP DESK FOR YEAR 2023",LSUBP00006 - LSUBP00006 - FMS AIR INTEGRATION USCG DIV HEAD - NIWCLANT,< $2M,TBD,Fixed-Price,Delivery Order/Task Order,N65236 - NIWCLANT,FY23,Q3,FY23,Q4,,Follow-on,N6523621V7617,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,"PATUXENT RIVER, MD",TBD - TBD,TBD - TBD,"Anderson, Shannon",shannon.b.anderson3.civ@us.navy.mil,NAVWAR OSBP,navwarsbo.fct@navy.mil,,,,,,N65236-23-RFPREQ-LSUBP00006-0050,https://ams.navair.navy.mil/procurement/8D865EE9-0EB5-4E35-82B7-D38878EA6770
LRAE Annex 25,24,LIPTM00226 - NAVAIR FMS TWN-23-3001 RUGGED/DELL/PANDUIT SEWP (C),"Naval Information Warfare Center (NIWC) Atlantic has a requirement to procure equipment that is part of the approved NAVAIR FMS system.  These items include RUGGED SYSTEMS, DELL and PANDUIT hardware.",LSUBP00006 - LSUBP00006 - FMS AIR INTEGRATION USCG DIV HEAD - NIWCLANT,< $2M,TBD,Fixed-Price,Delivery Order/Task Order,N65236 - NIWCLANT,FY23,Q3,FY23,Q3,,New,,,"PATUXENT RIVER, MD",TBD - TBD,TBD - TBD,"Anderson, Shannon",shannon.b.anderson3.civ@us.navy.mil,NAVWAR OSBP,navwarsbo.fct@navy.mil,,,,,,N65236-23-RFPREQ-LSUBP00006-0054,https://ams.navair.navy.mil/procurement/F0414C73-5B16-4C8A-BC86-5599A036947E
LRAE Annex 25,25,"LIPTM00214 - C4I FMS IPT-NATO-FMS CASE N1-P-LAA, SEWP (C)","“This is a justification to support the procurement of items that are peculiar to specific manufacturers. The proposed action will result in the award of a Firm Fixed Price (FFP) delivery order under the National Aeronautics and Space Administration (NASA) Solutions for Enterprise-Wide Procurement (SEWP) Government-Wide Acquisitions Contract (GWAC). The scope of SEWP includes the procurement and delivery of commercial equipment, software, hardware licenses/maintenance associated with commercial items and ancillary services. The items listed below are considered to within the scope of the GWAC and have been determined to be commercially available through various re-sellers. The identified items are Commercial-Off-The-Shelf (COTS) and are not available via mandatory sources.”",LSUBP00006 - LSUBP00006 - FMS AIR INTEGRATION USCG DIV HEAD - NIWCLANT,< $2M,TBD,Fixed-Price,Delivery Order/Task Order,N65236 - NIWCLANT,FY23,Q3,FY23,Q4,,New,,,"NORTH CHARLESTON, SC",541519 - Other Computer Related Services,"3694 - CLEAN WORK STATIONS, CONTROLLED ENVIRONMENT, AND RELATED EQUIPMENT","Anderson, Shannon",shannon.b.anderson3.civ@us.navy.mil,NAVWAR OSBP,navwarsbo.fct@navy.mil,,,,,,N65236-23-RFPREQ-LSUBP00006-0065,https://ams.navair.navy.mil/procurement/15E1B38F-E37A-4C0D-9A18-A01515F0BD1A
LRAE Annex 25,26,LIPTM00226-NAVAIR-FMS-KS-P3-23-002-TRIVEC-SEWP (C),TRIVEC AVANT ANTENNAS,LSUBP00006 - LSUBP00006 - FMS AIR INTEGRATION USCG DIV HEAD - NIWCLANT,< $2M,,Fixed-Price,Delivery Order/Task Order,N65236 - NIWCLANT,FY23,Q3,FY23,Q4,,New,,,"Washington Navy Yard, DC",TBD - TBD,"5985 - ANTENNAS, WAVEGUIDES, AND RELATED EQUIPMENT","Anderson, Shannon",shannon.b.anderson3.civ@us.navy.mil,NAVWAR OSBP,navwarsbo.fct@navy.mil,,,,,,N65236-23-RFPREQ-LSUBP00006-0064,https://ams.navair.navy.mil/procurement/DFD393A3-1E82-49F4-BC66-626A40736D18
LRAE Annex 25,27,"LIPTM00214 - C4I FMS, USCENTCOM Partner Network and CENTRIXSFMS, CASE BA-P-GBM, SEWP (C)",Procurement of material for USCENTCOM Partner Network and CENTRIXS capabilities for Bahrain.,LSUBP00006 - LSUBP00006 - FMS AIR INTEGRATION USCG DIV HEAD - NIWCLANT,< $2M,TBD,Fixed-Price,Delivery Order/Task Order,N65236 - NIWCLANT,FY23,Q3,FY23,Q4,,New,,,"NORTH CHARLESTON, SC",541519 - Other Computer Related Services,7B22 - IT AND TELECOM - COMPUTE: SERVERS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),"Anderson, Shannon",shannon.b.anderson3.civ@us.navy.mil,NAVWAR OSBP,navwarsbo.fct@navy.mil,,,,,,N65236-23-RFPREQ-LSUBP00006-0078,https://ams.navair.navy.mil/procurement/A046EE27-5C67-4E1C-98DF-35A57F948FBC
LRAE Annex 25,28,Front Office Contract Re-compete (C),Award new MIDS Front Office contract,PMA/PMW-101 - PMA/PMW-101 - NAVWAR,< $2M,Small Business Set-Aside,Cost-Reimbursement,Single-Award Indefinite-Delivery,N00039 - NAVWAR,,,FY27,Q2,60,Follow-on,N0017819D7675,"G2 SOFTWARE SYSTEMS, INC.","San Diego, CA",541330 - Engineering Services,R408 - Program Management/Support Services,"ARTIS, MICHAEL",michael.r.artis.civ@us.navy.mil,NAVWAR OSBP,navwarsbo.fct@navy.mil,Secret,,,,Some of the contractors will need to hold a TS SCI as well as Secret,N00039-26-RFPREQ-PMA/PMW-101-0005,https://ams.navair.navy.mil/procurement/32077B48-FAF3-453B-8339-C986F52F89B2
LRAE Annex 25,29,MIDS LVT IDIQ (C),"Follow-on contract for the procurement of MIDS-LVT terminals, spares, FMS, engineering Services, BU2 Retrofit Kits, and BU2 Retrofit Services.",PMA/PMW-101 - PMA/PMW-101 - NAVWAR,$250M - $1B,,TBD,TBD,N00039 - NAVWAR,,,FY25,Q3,,,,,"San Diego, CA",334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,TBD - TBD,"Bredesen, Editha",editha.y.bredesen.civ@us.navy.mil,NAVWAR OSBP,navwarsbo.fct@navy.mil,Secret,,,,,N00039-23-RFPREQ-PMA/PMW-101-0017,https://ams.navair.navy.mil/procurement/9F18C0BC-9F20-458C-863F-3CB416EF543F
LRAE Annex 25,30,LCM,LCM production and SE&I,PMA/PMW-101 - PMA/PMW-101 - NAVWAR,$7.5M - $50M,,TBD,TBD,N00039 - NAVWAR,,,FY25,Q3,60,,,,"San Diego, CA",334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,TBD - TBD,"Bredesen, Editha",editha.y.bredesen.civ@us.navy.mil,NAVWAR OSBP,navwarsbo.fct@navy.mil,Secret,,,,,N00039-23-RFPREQ-PMA/PMW-101-0018,https://ams.navair.navy.mil/procurement/914BD22D-5D89-4383-BF7C-17C98E80A877
LRAE Annex 25,31,Defense Health Agency Information Transport III - SeaPort (C),"Naval Information Warfare Center Atlantic (NIWC Atlantic) delivers management, systems engineering, finance, logistics, and quality assurance services to Defense Health Agency (DHA) Infrastructure & Operations and a triennial technical refresh of the Military Treatment Facilities (MTF) infrastructure at 130 Military Treatment Facilities worldwide. This includes cable plant infrastructure, Local Area Network (LAN) electronics, Wireless LAN (WLAN) capability, and WLAN engineering services to DHA LAN / WLAN Deployment Section, and WLAN sustainment services to the DHA LAN / WLAN Sustainment Section. Support also encompasses maintenance of the Department of Defense (DoD) Risk Management Framework - type accreditation for the DHA WLAN 2.0 type accreditation and for future DHA WLAN increments; support compliance with DoD and Military Health System (MHS) Information Assurance (IA) standards, maximize standardization, interchangeability and commonality, and provide remote, on-call engineering support to deployed MHS WLAN systems. Technical refresh is executed in a triennial, site-based, phased approach, on a sliding schedule and at any time six (6) deployment teams could be fielded to execute various phases of the refresh at six (6) different locations.",LSUBP00009 - LSUBP00009 - DEFENSE HEALTH INFO TECH DIV HEAD - NIWCLANT,$100M - $250M,Small Business Set-Aside,Cost-Reimbursement,Delivery Order/Task Order,N65236 - NIWCLANT,FY23,Q3,FY23,Q4,,Follow-on,N0017814D7819,MANUFACTURING ENGINEERING SYSTEMS INC.,"Charleston, SC",541330 - Engineering Services,R425 - SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"Brown, Christopher",christopher.m.brown14.civ@us.navy.mil,NAVWAR OSBP,navwarsbo.fct@navy.mil,,,,,,N65236-22-RFPREQ-LSUBP00009-0010,https://ams.navair.navy.mil/procurement/396F584E-12B8-4D75-AB77-A929F8C7E51F
LRAE Annex 25,32,National Intelligence Systems Engineering and Capability Development - SeaPort (C),"Operations and maintenance support, research and development, test and evaluation and management support services to Naval Information Warfare Center Atlantic (NIWC Atlantic) in support of National Intelligence programs including High Frequency Direction Finding (HFDF) systems, REDHAWK Center of Excellence (COE), and related efforts supporting cryptologic and Signals Intelligence (SIGINT) revitalization.",LSUBP00023 - LSUBP00023 - SPEC RECON SURVEIL & EXPLOIT DIV HD - NIWCLANT,$7.5M - $50M,TBD,Cost-Reimbursement,Delivery Order/Task Order,N65236 - NIWCLANT,FY23,Q2,FY23,Q4,,Follow-on,N6523619D4809,SCIENTIFIC RESEARCH CORPORATION,"Charleston, SC",541330 - Engineering Services,R425 - SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"Brown, Christopher",christopher.m.brown14.civ@us.navy.mil,NAVWAR OSBP,navwarsbo.fct@navy.mil,,,,,,N65236-22-RFPREQ-LSUBP00023-0003,https://ams.navair.navy.mil/procurement/49BEF53D-38B1-4E3E-9ACF-8A9D6CCB3777
LRAE Annex 25,33,"NETWORK PROTECTION DESIGN, DEPLOYMENT, AND ENGINEERING SUPPORT - SeaPort (C)","Executing network protection suite design, testing, deployment and sustainment in support of the Medical Community of Interest (MedCOI) network, which will support the exchange of healthcare information worldwide between Army, Navy, Air Force, the Defense Health Agency (DHA), United States Coast Guard (USCG), the Veteran’s Administration (VA), Defense Manpower Data Center (DMDC), Defense Healthcare Management System Modernization (DHMSM), Defense Medical Information Exchange (DMIX), and DHA locations worldwide.",LSUBP00009 - LSUBP00009 - DEFENSE HEALTH INFO TECH DIV HEAD - NIWCLANT,$7.5M - $50M,Small Business Set-Aside,Cost-Reimbursement,Delivery Order/Task Order,N65236 - NIWCLANT,FY23,Q3,FY23,Q4,,Follow-on,N0017819D8183,"NEXGEN DATA SYSTEMS, INC.","Charleston, SC",541330 - Engineering Services,R425 - SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"Brown, Christopher",christopher.m.brown14.civ@us.navy.mil,NAVWAR OSBP,navwarsbo.fct@navy.mil,,,,,,N65236-22-RFPREQ-LSUBP00009-0009,https://ams.navair.navy.mil/procurement/6550CE3F-F8BE-4146-97BA-FFA30398BD8B
LRAE Annex 25,34,IT SUPPORT SERVICES (ITSS) - SeaPort (C),"Enterprise IT/Infrastructure, Data center/hosting environment, Command, Control, Communications Protection (C3P) Ashore, Enterprise Information Management (EIM), Enterprise Support Center (including applications), Regional IT Services, Information Assurance, and Cyber Security.  The contractor shall fully embrace Information Technology (IT) as an enabler to provide efficient and effective approaches to the enterprise structure and process including training services.  The contractor shall leverage business and mission support ideas from their staff and external partners to provide enterprise-class service and support to the NIWC Atlantic program, functioning across CNIC’s regions, installations, bases, programs and business lines.  The contractor shall enable more efficient and effective operations and enterprise business solutions that support both today’s and tomorrow’s IT needs.",LSUBP00010 - LSUBP00010 - FORCE PROTECTION SOLUTIONS DIV HEAD - NIWCLANT,$100M - $250M,,Cost-Reimbursement,Delivery Order/Task Order,N65236 - NIWCLANT,FY23,Q3,FY24,Q2,,Follow-on,N0017819D7693,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.","Charleston, SC",541330 - Engineering Services,DA01 - IT and Telecom — Business Application/Application Development Support Services (Labor) Services,"Brown, Christopher",christopher.m.brown14.civ@us.navy.mil,NAVWAR OSBP,navwarsbo.fct@navy.mil,,,,,,N65236-24-RFPREQ-LSUBP00010-0001,https://ams.navair.navy.mil/procurement/4C7A4B06-6D2F-4372-9B8E-0EC62EA7E73F
LRAE Annex 25,35,NGA DIA SMS Integration,"New SAC TO: DIA HQ Annex services will be provided by existing infrastructure.  Due to this decision, NGA classified networks and SMS systems will extend into the DIA facility. This PR will extend all SMS",LSUBP00010 - LSUBP00010 - FORCE PROTECTION SOLUTIONS DIV HEAD - NIWCLANT,$2M - $7.5M,,Cost-Reimbursement,Delivery Order/Task Order,N65236 - NIWCLANT,FY23,Q3,FY23,Q4,,New,,,"Charleston, SC",541330 - Engineering Services,"N063 - INSTALLATION OF EQUIPMENT- ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS","Brown, Christopher",christopher.m.brown14.civ@us.navy.mil,NAVWAR OSBP,navwarsbo.fct@navy.mil,,,,,,N65236-23-RFPREQ-LSUBP00010-0058,https://ams.navair.navy.mil/procurement/9401F38B-ED78-4E5E-934F-FC2047F2300D
LRAE Annex 25,36,"LIPTM00006, Naval Command & Operations Centers, C6F VDS MOC Installation Support, SAC","Contract Number: N6523621D8009 / Task Order: NEW
Requirements Overview: Command 6th Fleet Video Distribution System (VDS) Installation in ALT-FCC and Maritime Operations Center (MOC).",LSUBP00002 - LSUBP00002 - COMMAND OPERATIONS CENTERS DIV HEAD - NIWCLANT,< $2M,8(a) Sole Source,Cost-Reimbursement,Delivery Order/Task Order,N65236 - NIWCLANT,FY23,Q3,FY23,Q4,,New,,,"Charleston, SC",541330 - Engineering Services,R425 - SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"Brown, Christopher",christopher.m.brown14.civ@us.navy.mil,NAVWAR OSBP,navwarsbo.fct@navy.mil,,,,,,N65236-23-RFPREQ-LSUBP00002-0059,https://ams.navair.navy.mil/procurement/D6F30BA6-206D-42E5-B5D2-A4DDBCB44E54
